Project,State,Period,Location,Class,Tag,Depth,Latitude,Longitude,Vel_Direction_Rad,Vel_Direction_Deg,Count,Mean,Std,Min,25%,50%,75%,Max,C_Var,Second_Raw_Moment,Third_Raw_Moment,Fourth_Raw_Moment,Fifth_Raw_Moment,Sixth_Raw_Moment,Seventh_Raw_Moment,Second_Central_Moment,Third_Central_Moment,Fourth_Central_Moment,Fifth_Central_Moment,Sixth_Central_Moment,Seventh_Central_Moment,Skewness,Kurtosis,ADF_Statistic,BP_Statistic
IITCA-UAEMex,Quintana Roo,2009-2014,Cozumel,Ajuste de HYCOM GOMl0.04/expt_31.72,HA360,50,20.69477272,-86.96002197,0.929450400818462,53.25358523364059,43722.0,0.4790185570193495,0.1880311966711287,0.0036113,0.3461025,0.47939,0.61159,1.3882,0.392534264,0.264813700241949,0.1611406477058705,0.1055569551209581,0.0735103902973065,0.0540053478032453,0.0416463018496116,0.0353549222730491,0.000418643435483,0.0034284888767387,0.0002568954021195,0.0005426791905087,0.000115222664573,0.062977346,-0.257036397,-12.97202622,130.1482468
IITCA-UAEMex,Quintana Roo,2009-2014,Cozumel,Ajuste de HYCOM GOMl0.04/expt_31.73,HA361,50,20.65734863,-86.96002197,0.6976446804442555,39.97209578920884,43722.0,0.9423989541192076,0.2972654179718662,0.04886,0.73662,0.894075,1.115,2.3733,0.315434792,0.9764804963425158,1.1063475855226776,1.3630441314099828,1.8132472406823967,2.5831780692863795,3.906969813192904,0.0883647076175392,0.0195637709720488,0.0296784160094323,0.0167601933780163,0.0195941429837006,0.0161634183128573,0.744816352,0.801098949,-12.78241192,580.477005
IITCA-UAEMex,Quintana Roo,2009-2014,Cozumel,Ajuste de HYCOM GOMl0.04/expt_31.74,HA362,50,20.61991501,-86.96002197,0.8718223203038571,49.95173943871363,43722.0,1.4994436251772565,0.3593982387620801,0.078035,1.305,1.56235,1.753075,2.4688,0.23968773,2.377495324828537,3.920537089152907,6.660252394399559,11.589023739444055,20.57844731597456,37.19750151049504,0.1291641397438244,-0.0317318114307356,0.0531569457516246,-0.0301871888954659,0.0376734918861306,-0.0317700820488995,-0.683591779,0.186381099,-9.46489519,388.6291709
IITCA-UAEMex,Quintana Roo,2009-2014,Cozumel,Ajuste de HYCOM GOMl0.04/expt_31.75,HA363,50,20.58247375,-86.96002197,0.6956327275085834,39.85681937741587,43722.0,1.3377541236448471,0.36277176022236,0.021229,1.0729,1.33975,1.6198,2.3897,0.271179699,1.9211864353406485,2.91475297790468,4.619577630452089,7.584974167609973,12.8218212622636,22.21033997931486,0.1316003400118557,-0.0074198933106646,0.0436023775967689,-0.0087493077895697,0.0235166592885241,-0.0101597308556842,-0.155427207,-0.48226332,-9.410576451,422.6896221
IITCA-UAEMex,Quintana Roo,2009-2014,Cozumel,Ajuste de HYCOM GOMl0.04/expt_31.76,HA364,50,20.54502296,-86.96002197,0.6404477327015807,36.69495208252325,43722.0,0.8661323164082155,0.2237981852888395,0.024558,0.7290825,0.873435,1.0094,1.9268,0.258387987,0.8002696717177402,0.7785251973140733,0.7922707591723919,0.8403911141518308,0.9272922480363538,1.0631578093670555,0.050084482191079,-0.0013738043545858,0.0088167053898,-0.0003537811402168,0.0027870820116274,4.0473239736474565e-05,-0.122570232,0.514990739,-12.37031489,641.6557486
IITCA-UAEMex,Quintana Roo,2009-2014,Cozumel,Ajuste de HYCOM GOMl0.04/expt_31.77,HA365,50,20.50756264,-86.96002197,0.7643265491693838,43.792685437204085,43722.0,0.2459524783678697,0.0877803566567193,0.0023915,0.18969,0.242765,0.2973274999999999,0.88322,0.356899663,0.068197836394064,0.0208342713963094,0.0069599391440537,0.0025385471490464,0.0010118014419927,0.0004412018923515,0.0077052147787666,0.000270611173474,0.000237700066543,3.609900661837976e-05,1.8012238241735963e-05,5.815134218978055e-06,0.400113773,1.003936152,-13.37168542,509.0825083
IITCA-UAEMex,Quintana Roo,2009-2014,Cozumel,Ajuste de HYCOM GOMl0.04/expt_31.78,HA371,50,20.28260803,-86.96002197,0.8018351003272683,45.94176711420141,43722.0,0.632806549151457,0.1957401970970428,0.012799,0.5142575,0.6462749999999999,0.7600375,1.3648,0.309320751,0.4387574770940143,0.3245024777551423,0.252750370173135,0.2058422449977275,0.1744807552317469,0.1534188281578901,0.038313348445039,-0.0016360028710053,0.0044818307263195,-0.0003485774180336,0.0008050273756228,-6.24800552970435e-05,-0.218159333,0.053343168,-14.92557766,236.0616357
IITCA-UAEMex,Quintana Roo,2009-2014,Cozumel,Ajuste de HYCOM GOMl0.04/expt_31.79,HA372,50,20.24508286,-86.96002197,0.5823885194150469,33.36840419935499,43722.0,0.6728048458441975,0.1807349365983811,0.024096,0.55171,0.6800649999999999,0.8004475,1.2683,0.268629065,0.4853307307892524,0.3690882292627496,0.2929749456475774,0.2410982081797303,0.2046772653918431,0.1785712951141739,0.0326643701978181,-0.0013981313604466,0.0031144203834781,-0.0003935567832753,0.0004835549815192,-0.0001084700455693,-0.236838032,-0.080908587,-10.64871823,385.9189735
IITCA-UAEMex,Quintana Roo,2009-2014,Cozumel,Ajuste de HYCOM GOMl0.04/expt_31.80,HA373,50,20.20755005,-86.96002197,0.4960182541051288,28.4197525216715,43722.0,0.7498955112071726,0.1898943441394316,0.034304,0.6364525,0.76694,0.8840375,1.3194,0.253227738,0.5984023149115538,0.4993514998092097,0.4318258480806641,0.3848681183187571,0.3522138636000465,0.3300865599236001,0.0360590371828871,-0.0034687302827445,0.0043352841815301,-0.0010806808033964,0.0008886492260101,-0.0003357402853166,-0.5065989,0.334357584,-9.737697781,844.3368991
IITCA-UAEMex,Quintana Roo,2009-2014,Cozumel,Ajuste de HYCOM GOMl0.04/expt_31.81,HA386,50,20.73218727,-86.91998291,0.9597734057775176,54.99096543994874,43722.0,0.1751856234184163,0.0935520125318589,0.0017533,0.104605,0.1617,0.2302675,0.81304,0.534016495,0.0394417815279139,0.0107312034586634,0.0034153474462168,0.0012487335834556,0.0005181531530169,0.0002411266944911,0.0087517788754147,0.0007551986963435,0.0003327186643082,8.998749563888916e-05,3.664071377490863e-05,1.5303535535130926e-05,0.922426195,1.344237686,-15.81154776,10.94842891
IITCA-UAEMex,Quintana Roo,2009-2014,Cozumel,Ajuste de HYCOM GOMl0.04/expt_31.82,HA387,50,20.69477272,-86.91998291,0.8018351003272683,45.94176711420141,43722.0,0.9004609152440418,0.2885350347768135,0.0074203,0.71298,0.86288,1.052875,2.0729,0.320430382,0.8940804220436348,0.9679843747833684,1.1332949009427935,1.4218087781319158,1.892513488577052,2.646496495371669,0.0832505621614971,0.0129721448511323,0.0241139516498957,0.0082253153151494,0.0112986033585345,0.0055216636186979,0.540064869,0.479509359,-11.31592841,1056.837879
IITCA-UAEMex,Quintana Roo,2009-2014,Cozumel,Ajuste de HYCOM GOMl0.04/expt_31.83,HA388,50,20.65734863,-86.91998291,0.7929250230407208,45.43125729054686,43722.0,1.3042007380266227,0.3739726117210739,0.04217,1.0205,1.3114,1.557,2.5729,0.286744671,1.840791880642002,2.7701484335092954,4.397865411016737,7.306579635171791,12.623619398318503,22.5665360615566,0.1398523155728144,0.0045953178529885,0.0534151183115911,0.004351182392367,0.0323985067936546,0.0027124831085548,0.087867033,-0.268873576,-9.747893431,562.1220619
IITCA-UAEMex,Quintana Roo,2009-2014,Cozumel,Ajuste de HYCOM GOMl0.04/expt_31.84,HA389,50,20.61991501,-86.91998291,0.9168038395085238,52.528990645227694,43722.0,1.486474380952381,0.4002207412558559,0.045579,1.2472,1.5449,1.7739,2.5422,0.2692416,2.3697790634341125,3.96530817357746,6.879391175467534,12.282968230328674,22.462355602187856,41.9341254759723,0.1601729782063483,-0.0334937499838366,0.0726674046811502,-0.0354627070174521,0.051946554602737,-0.0388760240841899,-0.52251023,-0.167439121,-9.670114647,526.1339513
IITCA-UAEMex,Quintana Roo,2009-2014,Cozumel,Ajuste de HYCOM GOMl0.04/expt_31.85,HA390,50,20.58247375,-86.91998291,0.6752257763039107,38.68758720065871,43722.0,0.8702632026165316,0.2272786199266821,0.0037779,0.7378725,0.86678,1.0006,1.8522,0.261160784,0.8090124314492612,0.7961898297299534,0.8266499603382599,0.9041280891180956,1.0405475519699678,1.2580145382570336,0.0516543896208786,0.0022302510989959,0.0105699307092787,0.0016141632346027,0.0038000698201412,0.0010550675864046,0.189979968,0.961729072,-12.58433474,761.3052068
IITCA-UAEMex,Quintana Roo,2009-2014,Cozumel,Ajuste de HYCOM GOMl0.04/expt_31.86,HA391,50,20.54502296,-86.91998291,0.6719204250524498,38.49820452414172,43722.0,0.0803240363932695,0.1078176486110486,3.2443e-07,0.016417,0.0465519999999999,0.09398475,0.81438,1.342283748,0.0180763302981825,0.0067406879652556,0.0031802882034737,0.001689912885026,0.000964102076531,0.0005771270940098,0.0116243794756752,0.003421289992421,0.0015894136982897,0.0007672456492331,0.000397521722284,0.0002150060751885,2.729921247,8.763578646,-27.03885699,6.363097742
IITCA-UAEMex,Quintana Roo,2009-2014,Cozumel,Ajuste de HYCOM GOMl0.04/expt_31.87,HA397,50,20.32012177,-86.91998291,0.6523757393916361,37.37837652386724,43722.0,0.6634327315264626,0.1942592077690513,0.0070778,0.5510125,0.6785749999999999,0.7953749999999999,1.3979,0.292809201,0.4778787659595693,0.3637776048554256,0.2893677288168356,0.2390181446038876,0.204188863214339,0.1799120643593622,0.0377357766989058,-0.0033331090068821,0.0048322269231924,-0.0010552227922715,0.0010289178644006,-0.0003172911247623,-0.454709971,0.393626611,-10.09667266,318.7940437
